,Fine,On Fire,Burned Out,Extinguished
0,7999,1,0,0
1,7996,4,0,0
2,7990,10,0,0
3,7981,19,0,0
4,7974,26,0,0
5,7964,30,1,5
6,7952,31,4,13
7,7937,39,7,17
8,7919,43,8,30
9,7901,57,8,34
10,7884,67,10,39
11,7864,74,17,45
12,7843,79,27,51
13,7823,83,39,55
14,7800,89,50,61
15,7773,102,60,65
16,7742,114,75,69
17,7709,126,92,73
18,7670,140,110,80
19,7636,155,127,82
20,7593,174,149,84
21,7556,180,178,86
22,7517,187,210,86
23,7476,188,246,90
24,7435,196,277,92
25,7385,206,316,93
26,7336,213,352,99
27,7292,218,388,102
28,7247,224,425,104
29,7194,234,464,108
30,7137,240,510,113
31,7085,239,555,121
32,7031,249,595,125
33,6975,262,634,129
34,6912,272,681,135
35,6847,281,733,139
36,6789,286,783,142
37,6730,292,833,145
38,6663,301,885,151
39,6585,320,940,155
40,6514,327,999,160
41,6449,334,1054,163
42,6366,354,1110,170
43,6294,361,1171,174
44,6219,357,1245,179
45,6151,356,1311,182
46,6073,367,1373,187
47,5985,374,1450,191
48,5896,390,1519,195
49,5809,404,1588,199
50,5743,402,1653,202
51,5713,351,1729,207
52,5699,279,1812,210
53,5684,206,1896,214
54,5675,129,1979,217
55,5674,64,2041,221
56,5673,31,2070,226
57,5672,16,2082,230
58,5672,1,2092,235
59,5672,0,2093,235
