,Fine,On Fire,Burned Out,Extinguished
0,7999,1,0,0
1,7992,5,0,3
2,7982,9,0,9
3,7973,15,0,12
4,7958,23,0,19
5,7945,32,1,22
6,7929,40,5,26
7,7908,53,9,30
8,7892,58,15,35
9,7876,63,23,38
10,7860,66,33,41
11,7841,70,45,44
12,7815,76,62,47
13,7783,90,73,54
14,7753,105,86,56
15,7713,127,99,61
16,7679,142,115,64
17,7645,149,138,68
18,7614,153,163,70
19,7578,156,191,75
20,7543,155,226,76
21,7494,167,257,82
22,7453,177,287,83
23,7403,192,316,89
24,7344,219,347,90
25,7292,233,381,94
26,7242,237,424,97
27,7198,239,464,99
28,7144,247,508,101
29,7091,239,566,104
30,7050,230,614,106
31,7015,216,661,108
32,6978,211,703,108
33,6936,198,755,111
34,6896,186,805,113
35,6859,182,844,115
36,6817,190,877,116
37,6773,194,914,119
38,6734,193,953,120
39,6684,202,991,123
40,6637,212,1026,125
41,6592,214,1067,127
42,6547,216,1108,129
43,6490,233,1146,131
44,6438,238,1193,131
45,6395,234,1238,133
46,6345,241,1281,133
47,6286,254,1324,136
48,6226,259,1379,136
49,6160,270,1431,139
50,6121,267,1472,140
51,6100,236,1522,142
52,6085,194,1578,143
53,6075,142,1638,145
54,6068,83,1701,148
55,6065,47,1739,149
56,6061,31,1758,150
57,6055,20,1772,153
58,6049,16,1780,155
59,6044,17,1784,155
60,6038,18,1786,158
61,6034,17,1789,160
62,6030,17,1792,161
63,6026,15,1796,163
64,6023,11,1801,165
65,6020,9,1804,167
66,6018,8,1806,168
67,6015,6,1809,170
68,6012,5,1811,172
69,6011,5,1812,172
70,6009,4,1813,174
71,6009,3,1814,174
72,6009,2,1815,174
73,6009,1,1816,174
74,6009,0,1817,174
