,Fine,On Fire,Burned Out,Extinguished
0,7999,1,0,0
1,7997,3,0,0
2,7992,8,0,0
3,7984,16,0,0
4,7976,24,0,0
5,7969,30,1,0
6,7958,39,3,0
7,7943,49,8,0
8,7929,55,16,0
9,7913,63,24,0
10,7892,77,31,0
11,7870,88,42,0
12,7846,97,57,0
13,7818,111,71,0
14,7789,124,87,0
15,7763,129,108,0
16,7732,138,130,0
17,7702,144,154,0
18,7665,153,182,0
19,7630,159,211,0
20,7592,171,237,0
21,7552,180,268,0
22,7508,194,298,0
23,7466,199,335,0
24,7419,211,370,0
25,7367,225,408,0
26,7314,238,448,0
27,7269,239,492,0
28,7218,248,534,0
29,7157,262,581,0
30,7092,275,633,0
31,7024,290,686,0
32,6960,309,731,0
33,6895,323,782,0
34,6832,325,843,0
35,6767,325,908,0
36,6693,331,976,0
37,6622,338,1040,0
38,6550,344,1105,1
39,6468,362,1168,2
40,6378,387,1233,2
41,6290,401,1307,2
42,6209,411,1378,2
43,6127,419,1449,5
44,6053,412,1530,5
45,5969,406,1620,5
46,5871,415,1708,6
47,5789,416,1789,6
48,5694,431,1868,7
49,5602,449,1942,7
50,5560,407,2026,7
51,5519,351,2123,7
52,5479,308,2205,8
53,5439,252,2299,10
54,5409,188,2391,12
55,5382,173,2433,12
56,5363,151,2474,12
57,5350,125,2513,12
58,5334,102,2551,13
59,5317,91,2579,13
60,5298,82,2606,14
61,5279,82,2625,14
62,5258,90,2638,14
63,5237,96,2653,14
64,5213,103,2670,14
65,5191,107,2688,14
66,5163,116,2707,14
67,5137,121,2728,14
68,5114,123,2749,14
69,5090,123,2773,14
70,5061,130,2795,14
71,5034,129,2823,14
72,5019,118,2849,14
73,4998,116,2872,14
74,4978,112,2896,14
75,4958,103,2925,14
76,4944,90,2952,14
77,4934,85,2967,14
78,4929,69,2988,14
79,4922,56,3008,14
80,4911,47,3028,14
81,4909,35,3042,14
82,4908,26,3052,14
83,4907,22,3057,14
84,4906,16,3064,14
85,4905,6,3075,14
86,4905,4,3077,14
87,4904,4,3078,14
88,4903,4,3079,14
89,4902,4,3080,14
90,4902,3,3081,14
91,4902,3,3081,14
92,4902,2,3082,14
93,4901,2,3083,14
94,4900,2,3084,14
95,4899,3,3084,14
96,4899,3,3084,14
97,4899,3,3084,14
98,4899,2,3085,14
99,4899,1,3086,14
100,4899,0,3087,14
