truck_strategy,break_width,num_firetruck,max_speed,wind_dir,steps_to_extinguishment,placed_on_edges,Number_of_steps_to_ExtinguishFire,Number_of_extinguished_firecell,Number_of_burned_out_cell,Number_of_cells_on_fire,Maximum_growthrate_firecell_perstep,Maximum_extinguishedrate_firecell_perstep,Count_healthy_trees,Count_unhealthy_trees,Percentage_damaged_burnedtrees
Goes to the biggest fire,0,10,15,↖ North/West,1,0,6.0,5.7272727272727275,1.0,6.7272727272727275,3.272727272727273,4.7272727272727275,6397.272727272727,2.727272727272727,0.03409090909090909
Goes to the biggest fire,0,10,15,↖ North/West,1,1,6.0,15.0,1.0,16.0,5.181818181818182,13.090909090909092,6390.272727272727,9.727272727272727,0.12159090909090908
Goes to the biggest fire,0,10,15,↖ North/West,2,0,6.0,7.0,1.0,8.0,3.3636363636363638,4.363636363636363,6396.909090909091,3.090909090909091,0.038636363636363635
Goes to the biggest fire,0,10,15,↖ North/West,2,1,6.181818181818182,22.09090909090909,1.0,23.09090909090909,5.818181818181818,12.0,6385.454545454545,14.545454545454545,0.18181818181818182
Goes to the biggest fire,0,10,15,↖ North/West,6,0,82.18181818181819,287.45454545454544,2569.909090909091,2857.3636363636365,28.0,9.454545454545455,3543.3636363636365,2856.6363636363635,35.70795454545455
Goes to the biggest fire,0,10,15,↖ North/West,6,1,79.81818181818181,289.27272727272725,2406.181818181818,2695.4545454545455,30.181818181818183,9.090909090909092,3705.7272727272725,2694.2727272727275,33.67840909090909
Goes to the biggest fire,0,10,15,↗ North/East,1,0,6.0,4.545454545454546,1.0,5.545454545454546,3.3636363636363638,3.8181818181818183,6398.545454545455,1.4545454545454546,0.018181818181818184
Goes to the biggest fire,0,10,15,↗ North/East,1,1,6.0,14.181818181818182,1.0,15.181818181818182,5.545454545454546,9.818181818181818,6391.090909090909,8.909090909090908,0.11136363636363635
Goes to the biggest fire,0,10,15,↗ North/East,2,0,6.0,8.0,1.0,9.0,4.0,5.545454545454546,6396.0,4.0,0.05
Goes to the biggest fire,0,10,15,↗ North/East,2,1,6.181818181818182,24.363636363636363,1.0,25.363636363636363,6.909090909090909,12.0,6384.818181818182,15.181818181818182,0.18977272727272726
