truck_strategy,break_width,num_firetruck,max_speed,wind_dir,steps_to_extinguishment,placed_on_edges,Number_of_steps_to_ExtinguishFire,Number_of_extinguished_firecell,Number_of_burned_out_cell,Number_of_cells_on_fire,Maximum_growthrate_firecell_perstep,Maximum_extinguishedrate_firecell_perstep,Count_healthy_trees,Count_unhealthy_trees,Percentage_damaged_burnedtrees
Goes to the closest fire,0,10,15,↖ North/West,1,0,6.0,4.909090909090909,1.0,5.909090909090909,2.727272727272727,3.0,6398.272727272727,1.7272727272727273,0.02159090909090909
Goes to the closest fire,0,10,15,↖ North/West,1,1,6.0,19.181818181818183,1.0,20.181818181818183,7.181818181818182,16.545454545454547,6388.272727272727,11.727272727272727,0.1465909090909091
Goes to the closest fire,0,10,15,↖ North/West,2,0,6.0,10.0,1.0,11.0,4.636363636363637,6.818181818181818,6394.090909090909,5.909090909090909,0.07386363636363637
Goes to the closest fire,0,10,15,↖ North/West,2,1,6.181818181818182,21.272727272727273,1.0,22.272727272727273,6.636363636363637,12.090909090909092,6386.181818181818,13.818181818181818,0.17272727272727273
Goes to the closest fire,0,10,15,↖ North/West,6,0,78.0909090909091,309.6363636363636,2401.2727272727275,2710.909090909091,28.636363636363637,9.454545454545455,3691.090909090909,2708.909090909091,33.861363636363635
Goes to the closest fire,0,10,15,↖ North/West,6,1,79.63636363636364,284.90909090909093,2578.5454545454545,2863.4545454545455,29.90909090909091,8.818181818181818,3538.090909090909,2861.909090909091,35.773863636363636
Goes to the closest fire,0,10,15,↗ North/East,1,0,6.0,6.636363636363637,1.0,7.636363636363637,4.181818181818182,6.0,6397.272727272727,2.727272727272727,0.03409090909090909
Goes to the closest fire,0,10,15,↗ North/East,1,1,6.0,14.909090909090908,1.0,15.909090909090908,5.909090909090909,10.727272727272727,6390.818181818182,9.181818181818182,0.11477272727272726
Goes to the closest fire,0,10,15,↗ North/East,2,0,6.0,10.909090909090908,1.0,11.909090909090908,4.909090909090909,6.818181818181818,6394.727272727273,5.2727272727272725,0.0659090909090909
Goes to the closest fire,0,10,15,↗ North/East,2,1,6.2727272727272725,22.09090909090909,1.0,23.09090909090909,6.636363636363637,11.727272727272727,6385.727272727273,14.272727272727273,0.1784090909090909
Goes to the closest fire,0,10,15,↗ North/East,6,0,50.54545454545455,146.45454545454547,1526.4545454545455,1672.909090909091,18.454545454545453,7.0,4729.363636363636,1670.6363636363637,20.882954545454545
Goes to the closest fire,0,10,15,↗ North/East,6,1,74.0,251.0,2291.090909090909,2542.090909090909,26.09090909090909,8.909090909090908,3858.909090909091,2541.090909090909,31.763636363636362
