truck_strategy,break_width,num_firetruck,max_speed,wind_dir,steps_to_extinguishment,placed_on_edges,Number_of_steps_to_ExtinguishFire,Number_of_extinguished_firecell,Number_of_burned_out_cell,Number_of_cells_on_fire,Maximum_growthrate_firecell_perstep,Maximum_extinguishedrate_firecell_perstep,Count_healthy_trees,Count_unhealthy_trees,Percentage_damaged_burnedtrees
Optimized Parallel attack,0,10,15,↖ North/West,1,0,6.0,7.0,1.0,8.0,3.6363636363636362,4.545454545454546,6397.181818181818,2.8181818181818183,0.035227272727272725
Optimized Parallel attack,0,10,15,↖ North/West,1,1,6.090909090909091,18.545454545454547,1.0,19.545454545454547,6.545454545454546,14.636363636363637,6387.636363636364,12.363636363636363,0.15454545454545454
Optimized Parallel attack,0,10,15,↖ North/West,2,0,6.181818181818182,13.454545454545455,1.3636363636363635,14.818181818181818,5.2727272727272725,6.909090909090909,6391.818181818182,8.181818181818182,0.10227272727272728
Optimized Parallel attack,0,10,15,↖ North/West,2,1,8.0,24.90909090909091,3.4545454545454546,28.363636363636363,7.181818181818182,11.090909090909092,6381.909090909091,18.09090909090909,0.2261363636363636
Optimized Parallel attack,0,10,15,↖ North/West,6,0,83.45454545454545,84.0909090909091,2781.0,2865.090909090909,24.818181818181817,6.545454545454546,3541.090909090909,2858.909090909091,35.73636363636364
Optimized Parallel attack,0,10,15,↖ North/West,6,1,88.27272727272727,93.72727272727273,2976.090909090909,3069.818181818182,26.636363636363637,7.363636363636363,3334.090909090909,3065.909090909091,38.32386363636363
Optimized Parallel attack,0,10,15,↗ North/East,1,0,6.0,5.636363636363637,1.0,6.636363636363637,2.8181818181818183,4.090909090909091,6397.454545454545,2.5454545454545454,0.031818181818181815
Optimized Parallel attack,0,10,15,↗ North/East,1,1,6.0,15.636363636363637,1.0,16.636363636363637,6.090909090909091,10.272727272727273,6390.363636363636,9.636363636363637,0.12045454545454545
Optimized Parallel attack,0,10,15,↗ North/East,2,0,6.181818181818182,13.0,1.0,14.0,4.545454545454546,6.454545454545454,6392.727272727273,7.2727272727272725,0.09090909090909091
Optimized Parallel attack,0,10,15,↗ North/East,2,1,7.0,19.636363636363637,2.0,21.636363636363637,6.181818181818182,9.818181818181818,6387.727272727273,12.272727272727273,0.1534090909090909
Optimized Parallel attack,0,10,15,↗ North/East,6,0,81.45454545454545,93.9090909090909,2719.181818181818,2813.090909090909,26.181818181818183,8.090909090909092,3591.7272727272725,2808.2727272727275,35.10340909090909
Optimized Parallel attack,0,10,15,↗ North/East,6,1,82.0,84.9090909090909,2781.5454545454545,2866.4545454545455,25.545454545454547,7.636363636363637,3538.181818181818,2861.818181818182,35.77272727272727
Optimized Parallel attack,0,10,15,↘ South/East,1,0,6.0,5.7272727272727275,1.0,6.7272727272727275,3.0,3.5454545454545454,6397.636363636364,2.3636363636363638,0.029545454545454545
Optimized Parallel attack,0,10,15,↘ South/East,1,1,6.0,19.272727272727273,1.0,20.272727272727273,6.7272727272727275,14.454545454545455,6387.181818181818,12.818181818181818,0.16022727272727272
Optimized Parallel attack,0,10,15,↘ South/East,2,0,6.181818181818182,11.636363636363637,1.0,12.636363636363637,4.7272727272727275,6.363636363636363,6393.909090909091,6.090909090909091,0.07613636363636363
Optimized Parallel attack,0,10,15,↘ South/East,2,1,7.7272727272727275,23.454545454545453,3.090909090909091,26.545454545454547,7.454545454545454,10.454545454545455,6383.545454545455,16.454545454545453,0.2056818181818182
Optimized Parallel attack,0,10,15,↘ South/East,6,0,86.54545454545455,98.72727272727273,2932.0,3030.7272727272725,26.272727272727273,7.0,3375.181818181818,3024.818181818182,37.810227272727275
Optimized Parallel attack,0,10,15,↘ South/East,6,1,89.27272727272727,95.0,2916.818181818182,3011.818181818182,27.818181818181817,7.909090909090909,3392.6363636363635,3007.3636363636365,37.592045454545456
Optimized Parallel attack,0,10,15,↙ South/West,1,0,6.0,7.181818181818182,1.0,8.181818181818182,3.3636363636363638,5.2727272727272725,6396.545454545455,3.4545454545454546,0.04318181818181818
Optimized Parallel attack,0,10,15,↙ South/West,1,1,6.636363636363637,21.636363636363637,1.4545454545454546,23.09090909090909,7.909090909090909,19.09090909090909,6385.363636363636,14.636363636363637,0.18295454545454548
Optimized Parallel attack,0,10,15,↙ South/West,2,0,6.090909090909091,13.363636363636363,1.0,14.363636363636363,5.090909090909091,7.454545454545454,6393.0,7.0,0.0875
Optimized Parallel attack,0,10,15,↙ South/West,2,1,7.7272727272727275,23.272727272727273,3.090909090909091,26.363636363636363,6.818181818181818,10.727272727272727,6382.454545454545,17.545454545454547,0.21931818181818183
Optimized Parallel attack,0,10,15,↙ South/West,6,0,84.63636363636364,102.45454545454545,2832.090909090909,2934.5454545454545,27.272727272727273,6.636363636363637,3472.4545454545455,2927.5454545454545,36.59431818181818
Optimized Parallel attack,0,10,15,↙ South/West,6,1,87.27272727272727,87.45454545454545,3036.3636363636365,3123.818181818182,25.727272727272727,7.818181818181818,3279.909090909091,3120.090909090909,39.00113636363636
Optimized Parallel attack,0,10,20,↖ North/West,1,0,6.0,5.181818181818182,1.0,6.181818181818182,3.0,3.5454545454545454,6398.090909090909,1.9090909090909092,0.023863636363636365
Optimized Parallel attack,0,10,20,↖ North/West,1,1,6.0,14.545454545454545,1.0,15.545454545454545,6.545454545454546,13.363636363636363,6391.545454545455,8.454545454545455,0.1056818181818182
Optimized Parallel attack,0,10,20,↖ North/West,2,0,6.090909090909091,8.454545454545455,1.0,9.454545454545455,4.0,5.363636363636363,6396.090909090909,3.909090909090909,0.04886363636363636
Optimized Parallel attack,0,10,20,↖ North/West,2,1,6.090909090909091,16.90909090909091,1.0,17.90909090909091,6.090909090909091,9.636363636363637,6390.454545454545,9.545454545454545,0.11931818181818182
Optimized Parallel attack,0,10,20,↖ North/West,6,0,60.18181818181818,66.36363636363636,1982.4545454545455,2048.818181818182,19.09090909090909,5.2727272727272725,4354.909090909091,2045.090909090909,25.563636363636363
Optimized Parallel attack,0,10,20,↖ North/West,6,1,80.0,94.54545454545455,2533.7272727272725,2628.2727272727275,24.818181818181817,6.818181818181818,3779.909090909091,2620.090909090909,32.75113636363636
Optimized Parallel attack,0,10,20,↗ North/East,1,0,6.0,4.818181818181818,1.0,5.818181818181818,2.6363636363636362,3.272727272727273,6398.090909090909,1.9090909090909092,0.023863636363636365
Optimized Parallel attack,0,10,20,↗ North/East,1,1,6.0,11.727272727272727,1.0,12.727272727272727,5.2727272727272725,10.545454545454545,6393.0,7.0,0.08750000000000001
Optimized Parallel attack,0,10,20,↗ North/East,2,0,6.181818181818182,7.454545454545454,1.0,8.454545454545455,3.272727272727273,3.8181818181818183,6396.363636363636,3.6363636363636362,0.045454545454545456
Optimized Parallel attack,0,10,20,↗ North/East,2,1,6.2727272727272725,17.0,1.0,18.0,5.818181818181818,10.0,6389.636363636364,10.363636363636363,0.12954545454545452
Optimized Parallel attack,0,10,20,↗ North/East,6,0,79.27272727272727,89.9090909090909,2436.818181818182,2526.7272727272725,25.636363636363637,7.0,3880.818181818182,2519.181818181818,31.489772727272733
Optimized Parallel attack,0,10,20,↗ North/East,6,1,84.45454545454545,96.0,2748.7272727272725,2844.7272727272725,26.727272727272727,7.454545454545454,3559.909090909091,2840.090909090909,35.50113636363636
Optimized Parallel attack,0,10,20,↘ South/East,1,0,6.0,4.0,1.0,5.0,2.6363636363636362,2.3636363636363638,6398.363636363636,1.6363636363636365,0.020454545454545454
Optimized Parallel attack,0,10,20,↘ South/East,1,1,6.0,12.363636363636363,1.0,13.363636363636363,5.545454545454546,11.454545454545455,6392.818181818182,7.181818181818182,0.08977272727272728
Optimized Parallel attack,0,10,20,↘ South/East,2,0,6.181818181818182,7.636363636363637,1.0,8.636363636363637,3.272727272727273,4.454545454545454,6396.363636363636,3.6363636363636362,0.045454545454545456
Optimized Parallel attack,0,10,20,↘ South/East,2,1,6.0,14.909090909090908,1.0,15.909090909090908,6.454545454545454,10.181818181818182,6390.818181818182,9.181818181818182,0.11477272727272726
Optimized Parallel attack,0,10,20,↘ South/East,6,0,71.63636363636364,91.9090909090909,2319.3636363636365,2411.2727272727275,22.90909090909091,6.7272727272727275,3996.2727272727275,2403.7272727272725,30.04659090909091
Optimized Parallel attack,0,10,20,↘ South/East,6,1,75.18181818181819,81.18181818181819,2535.7272727272725,2616.909090909091,24.363636363636363,6.454545454545454,3787.6363636363635,2612.3636363636365,32.654545454545456
Optimized Parallel attack,0,10,20,↙ South/West,1,0,6.090909090909091,3.727272727272727,1.0,4.7272727272727275,2.4545454545454546,2.4545454545454546,6398.545454545455,1.4545454545454546,0.018181818181818184
Optimized Parallel attack,0,10,20,↙ South/West,1,1,6.0,12.454545454545455,1.0,13.454545454545455,6.181818181818182,12.181818181818182,6392.909090909091,7.090909090909091,0.08863636363636364
Optimized Parallel attack,0,10,20,↙ South/West,2,0,6.181818181818182,8.636363636363637,1.0,9.636363636363637,3.8181818181818183,4.818181818181818,6395.636363636364,4.363636363636363,0.05454545454545456
Optimized Parallel attack,0,10,20,↙ South/West,2,1,6.0,12.545454545454545,1.0,13.545454545454545,4.818181818181818,7.909090909090909,6392.363636363636,7.636363636363637,0.09545454545454546
Optimized Parallel attack,0,10,20,↙ South/West,6,0,83.72727272727273,102.45454545454545,2679.4545454545455,2781.909090909091,26.181818181818183,7.818181818181818,3625.3636363636365,2774.6363636363635,34.68295454545454
Optimized Parallel attack,0,10,20,↙ South/West,6,1,86.27272727272727,94.36363636363636,2886.2727272727275,2980.6363636363635,26.545454545454547,6.7272727272727275,3424.5454545454545,2975.4545454545455,37.19318181818182
Optimized Parallel attack,0,10,25,↖ North/West,1,0,6.0,4.545454545454546,1.0,5.545454545454546,2.909090909090909,3.1818181818181817,6398.272727272727,1.7272727272727273,0.02159090909090909
Optimized Parallel attack,0,10,25,↖ North/West,1,1,6.0,7.818181818181818,1.0,8.818181818181818,4.636363636363637,7.454545454545454,6396.090909090909,3.909090909090909,0.04886363636363636
Optimized Parallel attack,0,10,25,↖ North/West,2,0,6.090909090909091,6.636363636363637,1.0,7.636363636363637,3.272727272727273,3.6363636363636362,6397.090909090909,2.909090909090909,0.03636363636363637
Optimized Parallel attack,0,10,25,↖ North/West,2,1,6.0,6.454545454545454,1.0,7.454545454545454,3.727272727272727,5.909090909090909,6396.636363636364,3.3636363636363638,0.042045454545454546
Optimized Parallel attack,0,10,25,↖ North/West,6,0,77.0909090909091,88.36363636363636,2494.7272727272725,2583.090909090909,24.09090909090909,6.909090909090909,3823.7272727272725,2576.2727272727275,32.20340909090909
Optimized Parallel attack,0,10,25,↖ North/West,6,1,79.0,95.0909090909091,2695.4545454545455,2790.5454545454545,23.181818181818183,7.545454545454546,3616.3636363636365,2783.6363636363635,34.79545454545455
