truck_strategy,break_width,num_firetruck,max_speed,wind_dir,steps_to_extinguishment,placed_on_edges,Number_of_steps_to_ExtinguishFire,Number_of_extinguished_firecell,Number_of_burned_out_cell,Number_of_cells_on_fire,Maximum_growthrate_firecell_perstep,Maximum_extinguishedrate_firecell_perstep,Count_healthy_trees,Count_unhealthy_trees,Percentage_damaged_burnedtrees
Optimized closest,0,10,15,↖ North/West,1,0,6.0,4.0,1.0,5.0,2.5454545454545454,2.8181818181818183,6398.363636363636,1.6363636363636365,0.020454545454545454
Optimized closest,0,10,15,↖ North/West,1,1,6.0,17.90909090909091,1.0,18.90909090909091,6.636363636363637,14.454545454545455,6389.0,11.0,0.13749999999999998
Optimized closest,0,10,15,↖ North/West,2,0,6.0,6.909090909090909,1.0,7.909090909090909,3.5454545454545454,4.454545454545454,6396.0,4.0,0.05
Optimized closest,0,10,15,↖ North/West,2,1,6.636363636363637,27.636363636363637,1.0,28.636363636363637,7.7272727272727275,13.363636363636363,6383.272727272727,16.727272727272727,0.20909090909090908
Optimized closest,0,10,15,↖ North/West,6,0,76.18181818181819,177.8181818181818,2426.181818181818,2604.0,25.0,8.090909090909092,3797.0,2603.0,32.5375
Optimized closest,0,10,15,↖ North/West,6,1,78.9090909090909,195.0,2516.4545454545455,2711.4545454545455,25.727272727272727,10.272727272727273,3689.4545454545455,2710.5454545454545,33.88181818181818
Optimized closest,0,10,15,↗ North/East,1,0,6.0,4.2727272727272725,1.0,5.2727272727272725,2.6363636363636362,3.3636363636363638,6398.0,2.0,0.025
Optimized closest,0,10,15,↗ North/East,1,1,6.0,15.0,1.0,16.0,5.7272727272727275,10.363636363636363,6391.363636363636,8.636363636363637,0.10795454545454546
Optimized closest,0,10,15,↗ North/East,2,0,6.0,7.909090909090909,1.0,8.909090909090908,4.0,5.454545454545454,6396.363636363636,3.6363636363636362,0.045454545454545456
Optimized closest,0,10,15,↗ North/East,2,1,6.181818181818182,17.454545454545453,1.0,18.454545454545453,5.636363636363637,10.818181818181818,6388.818181818182,11.181818181818182,0.13977272727272727
Optimized closest,0,10,15,↗ North/East,6,0,73.0,177.54545454545453,2414.3636363636365,2591.909090909091,27.09090909090909,8.727272727272727,3808.909090909091,2591.090909090909,32.38863636363636
Optimized closest,0,10,15,↗ North/East,6,1,75.63636363636364,183.8181818181818,2358.818181818182,2542.6363636363635,25.0,8.909090909090908,3858.090909090909,2541.909090909091,31.773863636363636
Optimized closest,0,10,15,↘ South/East,1,0,6.0,6.363636363636363,1.0,7.363636363636363,3.8181818181818183,5.454545454545454,6397.181818181818,2.8181818181818183,0.035227272727272725
Optimized closest,0,10,15,↘ South/East,1,1,6.0,18.181818181818183,1.0,19.181818181818183,6.454545454545454,14.909090909090908,6388.0,12.0,0.15
Optimized closest,0,10,15,↘ South/East,2,0,6.0,10.090909090909092,1.0,11.090909090909092,4.2727272727272725,6.090909090909091,6394.454545454545,5.545454545454546,0.06931818181818182
Optimized closest,0,10,15,↘ South/East,2,1,6.0,20.818181818181817,1.0,21.818181818181817,6.909090909090909,13.727272727272727,6387.181818181818,12.818181818181818,0.16022727272727272
Optimized closest,0,10,15,↘ South/East,6,0,64.63636363636364,163.27272727272728,1966.1818181818182,2129.4545454545455,20.09090909090909,7.181818181818182,4271.454545454545,2128.5454545454545,26.606818181818184
Optimized closest,0,10,15,↘ South/East,6,1,76.45454545454545,177.63636363636363,2550.0,2727.6363636363635,26.181818181818183,9.181818181818182,3673.4545454545455,2726.5454545454545,34.081818181818186
Optimized closest,0,10,15,↙ South/West,1,0,6.0,5.545454545454546,1.0,6.545454545454546,3.090909090909091,3.6363636363636362,6397.636363636364,2.3636363636363638,0.029545454545454545
Optimized closest,0,10,15,↙ South/West,1,1,6.0,21.818181818181817,1.0,22.818181818181817,8.454545454545455,20.0,6385.909090909091,14.090909090909092,0.17613636363636365
Optimized closest,0,10,15,↙ South/West,2,0,6.0,8.454545454545455,1.0,9.454545454545455,3.3636363636363638,5.363636363636363,6395.454545454545,4.545454545454546,0.056818181818181816
Optimized closest,0,10,15,↙ South/West,2,1,6.181818181818182,25.272727272727273,1.0,26.272727272727273,8.0,16.0,6383.545454545455,16.454545454545453,0.2056818181818182
Optimized closest,0,10,15,↙ South/West,6,0,75.72727272727273,182.9090909090909,2306.2727272727275,2489.181818181818,22.272727272727273,8.272727272727273,3913.0,2487.0,31.087500000000002
Optimized closest,0,10,15,↙ South/West,6,1,79.72727272727273,186.1818181818182,2565.818181818182,2752.0,24.272727272727273,9.818181818181818,3649.090909090909,2750.909090909091,34.38636363636363
Optimized closest,0,10,20,↖ North/West,1,0,6.0,4.363636363636363,1.0,5.363636363636363,3.1818181818181817,3.727272727272727,6398.454545454545,1.5454545454545454,0.01931818181818182
