truck_strategy,break_width,num_firetruck,max_speed,wind_dir,steps_to_extinguishment,placed_on_edges,Number_of_steps_to_ExtinguishFire,Number_of_extinguished_firecell,Number_of_burned_out_cell,Number_of_cells_on_fire,Maximum_growthrate_firecell_perstep,Maximum_extinguishedrate_firecell_perstep,Count_healthy_trees,Count_unhealthy_trees,Percentage_damaged_burnedtrees
Random movements,0,10,15,↖ North/West,1,0,111.54545454545455,19.181818181818183,3059.0,3078.181818181818,25.545454545454547,3.0,3341.0,3059.0,38.237500000000004
Random movements,0,10,15,↖ North/West,1,1,106.81818181818181,13.272727272727273,2999.5454545454545,3012.818181818182,24.0,3.4545454545454546,3400.4545454545455,2999.5454545454545,37.49431818181818
Random movements,0,10,15,↖ North/West,2,0,107.63636363636364,27.454545454545453,3053.090909090909,3080.5454545454545,29.818181818181817,4.545454545454546,3319.4545454545455,3080.5454545454545,38.50681818181818
Random movements,0,10,15,↖ North/West,2,1,95.81818181818181,18.272727272727273,2857.909090909091,2876.181818181818,24.272727272727273,4.545454545454546,3523.818181818182,2876.181818181818,35.95227272727273
Random movements,0,10,15,↖ North/West,6,0,111.63636363636364,0.2727272727272727,3137.6363636363635,3137.909090909091,27.272727272727273,0.18181818181818182,3262.090909090909,3137.909090909091,39.22386363636363
Random movements,0,10,15,↖ North/West,6,1,101.36363636363636,0.0,3117.5454545454545,3117.5454545454545,24.727272727272727,0.0,3282.4545454545455,3117.5454545454545,38.96931818181818
Random movements,0,10,15,↗ North/East,1,0,111.27272727272727,17.0,3022.4545454545455,3039.4545454545455,28.181818181818183,3.3636363636363638,3377.5454545454545,3022.4545454545455,37.78068181818182
Random movements,0,10,15,↗ North/East,1,1,107.0909090909091,10.909090909090908,3091.2727272727275,3102.181818181818,27.0,4.0,3308.7272727272725,3091.2727272727275,38.64090909090909
Random movements,0,10,15,↗ North/East,2,0,101.63636363636364,27.0,2880.5454545454545,2907.5454545454545,26.545454545454547,4.363636363636363,3492.4545454545455,2907.5454545454545,36.34431818181818
Random movements,0,10,15,↗ North/East,2,1,97.0,13.727272727272727,2911.818181818182,2925.5454545454545,28.545454545454547,5.0,3474.4545454545455,2925.5454545454545,36.56931818181818
Random movements,0,10,15,↗ North/East,6,0,106.63636363636364,0.36363636363636365,2963.5454545454545,2963.909090909091,27.636363636363637,0.18181818181818182,3436.090909090909,2963.909090909091,37.04886363636364
Random movements,0,10,15,↗ North/East,6,1,115.18181818181819,0.0,3008.0,3008.0,25.363636363636363,0.0,3392.0,3008.0,37.6
Random movements,0,10,15,↘ South/East,1,0,103.0,15.545454545454545,2971.2727272727275,2986.818181818182,26.454545454545453,3.4545454545454546,3428.7272727272725,2971.2727272727275,37.14090909090908
Random movements,0,10,15,↘ South/East,1,1,103.0909090909091,13.454545454545455,2923.090909090909,2936.5454545454545,25.363636363636363,3.5454545454545454,3476.909090909091,2923.090909090909,36.538636363636364
Random movements,0,10,15,↘ South/East,2,0,103.27272727272727,26.818181818181817,2940.909090909091,2967.7272727272725,28.454545454545453,4.454545454545454,3432.2727272727275,2967.7272727272725,37.09659090909091
Random movements,0,10,15,↘ South/East,2,1,108.81818181818181,18.818181818181817,3080.4545454545455,3099.2727272727275,23.454545454545453,5.090909090909091,3300.7272727272725,3099.2727272727275,38.74090909090909
Random movements,0,10,15,↘ South/East,6,0,103.72727272727273,0.0,2950.0,2950.0,24.727272727272727,0.0,3450.0,2950.0,36.875
Random movements,0,10,15,↘ South/East,6,1,104.27272727272727,0.0,3028.0,3028.0,25.90909090909091,0.0,3372.0,3028.0,37.85
Random movements,0,10,15,↙ South/West,1,0,107.27272727272727,21.636363636363637,3127.4545454545455,3149.090909090909,25.818181818181817,3.1818181818181817,3272.5454545454545,3127.4545454545455,39.09318181818182
Random movements,0,10,15,↙ South/West,1,1,106.27272727272727,10.727272727272727,3107.818181818182,3118.5454545454545,25.636363636363637,4.090909090909091,3292.181818181818,3107.818181818182,38.847727272727276
Random movements,0,10,15,↙ South/West,2,0,101.81818181818181,30.181818181818183,3084.4545454545455,3114.6363636363635,26.636363636363637,4.545454545454546,3285.4545454545455,3114.5454545454545,38.93181818181818
Random movements,0,10,15,↙ South/West,2,1,94.9090909090909,13.363636363636363,3043.5454545454545,3056.909090909091,25.545454545454547,4.181818181818182,3343.090909090909,3056.909090909091,38.211363636363636
Random movements,0,10,15,↙ South/West,6,0,103.63636363636364,0.0,2991.818181818182,2991.818181818182,26.0,0.0,3408.181818181818,2991.818181818182,37.39772727272727
Random movements,0,10,15,↙ South/West,6,1,105.54545454545455,0.0,3093.2727272727275,3093.2727272727275,25.181818181818183,0.0,3306.7272727272725,3093.2727272727275,38.66590909090909
Random movements,0,10,20,↖ North/West,1,0,102.0,19.545454545454547,2876.5454545454545,2896.090909090909,24.09090909090909,3.090909090909091,3523.4545454545455,2876.5454545454545,35.95681818181818
Random movements,0,10,20,↖ North/West,1,1,98.54545454545455,12.363636363636363,2811.181818181818,2823.5454545454545,22.90909090909091,3.0,3588.818181818182,2811.181818181818,35.13977272727273
Random movements,0,10,20,↖ North/West,2,0,106.0909090909091,24.0,2998.4545454545455,3022.4545454545455,26.363636363636363,3.727272727272727,3377.5454545454545,3022.4545454545455,37.78068181818182
Random movements,0,10,20,↖ North/West,2,1,105.0,20.272727272727273,2903.0,2923.2727272727275,26.272727272727273,4.818181818181818,3476.7272727272725,2923.2727272727275,36.540909090909096
Random movements,0,10,20,↖ North/West,6,0,95.54545454545455,0.0,2856.909090909091,2856.909090909091,26.09090909090909,0.0,3543.090909090909,2856.909090909091,35.711363636363636
Random movements,0,10,20,↖ North/West,6,1,102.81818181818181,0.0,3042.090909090909,3042.090909090909,28.181818181818183,0.0,3357.909090909091,3042.090909090909,38.02613636363637
Random movements,0,10,20,↗ North/East,1,0,106.0909090909091,13.272727272727273,2933.181818181818,2946.4545454545455,26.09090909090909,2.909090909090909,3466.818181818182,2933.181818181818,36.66477272727273
Random movements,0,10,20,↗ North/East,1,1,95.27272727272727,9.272727272727273,2936.6363636363635,2945.909090909091,24.727272727272727,3.5454545454545454,3463.3636363636365,2936.6363636363635,36.70795454545455
Random movements,0,10,20,↗ North/East,2,0,108.0,25.0,2957.7272727272725,2982.7272727272725,24.545454545454547,4.363636363636363,3417.5454545454545,2982.4545454545455,37.28068181818182
Random movements,0,10,20,↗ North/East,2,1,106.45454545454545,15.454545454545455,3064.2727272727275,3079.7272727272725,25.545454545454547,4.818181818181818,3320.2727272727275,3079.7272727272725,38.496590909090905
Random movements,0,10,20,↗ North/East,6,0,108.18181818181819,0.0,2966.818181818182,2966.818181818182,28.363636363636363,0.0,3433.181818181818,2966.818181818182,37.08522727272727
Random movements,0,10,20,↗ North/East,6,1,111.9090909090909,0.0,3021.181818181818,3021.181818181818,25.727272727272727,0.0,3378.818181818182,3021.181818181818,37.76477272727273
Random movements,0,10,20,↘ South/East,1,0,105.27272727272727,16.0,2945.818181818182,2961.818181818182,26.0,2.6363636363636362,3454.181818181818,2945.818181818182,36.82272727272727
Random movements,0,10,20,↘ South/East,1,1,107.45454545454545,13.181818181818182,2954.0,2967.181818181818,24.727272727272727,2.8181818181818183,3446.0,2954.0,36.925000000000004
Random movements,0,10,20,↘ South/East,2,0,95.27272727272727,26.272727272727273,2984.6363636363635,3010.909090909091,24.545454545454547,4.090909090909091,3389.090909090909,3010.909090909091,37.63636363636363
Random movements,0,10,20,↘ South/East,2,1,104.9090909090909,20.454545454545453,3049.181818181818,3069.6363636363635,26.727272727272727,4.545454545454546,3330.3636363636365,3069.6363636363635,38.37045454545454
Random movements,0,10,20,↘ South/East,6,0,110.9090909090909,0.0,3154.181818181818,3154.181818181818,24.363636363636363,0.0,3245.818181818182,3154.181818181818,39.42727272727273
Random movements,0,10,20,↘ South/East,6,1,117.0,0.0,2982.090909090909,2982.090909090909,26.363636363636363,0.0,3417.909090909091,2982.090909090909,37.27613636363637
Random movements,0,10,20,↙ South/West,1,0,100.63636363636364,19.272727272727273,3028.2727272727275,3047.5454545454545,25.272727272727273,3.272727272727273,3371.7272727272725,3028.2727272727275,37.85340909090909
Random movements,0,10,20,↙ South/West,1,1,105.18181818181819,10.0,3080.7272727272725,3090.7272727272725,25.90909090909091,4.0,3319.2727272727275,3080.7272727272725,38.50909090909091
Random movements,0,10,20,↙ South/West,2,0,100.45454545454545,25.636363636363637,3073.0,3098.6363636363635,27.09090909090909,4.181818181818182,3301.3636363636365,3098.6363636363635,38.73295454545455
Random movements,0,10,20,↙ South/West,2,1,102.54545454545455,14.363636363636363,3075.818181818182,3090.181818181818,29.272727272727273,4.0,3309.818181818182,3090.181818181818,38.627272727272725
Random movements,0,10,20,↙ South/West,6,0,107.36363636363636,0.36363636363636365,3051.181818181818,3051.5454545454545,25.818181818181817,0.09090909090909091,3348.4545454545455,3051.5454545454545,38.14431818181818
Random movements,0,10,20,↙ South/West,6,1,111.81818181818181,0.0,3289.818181818182,3289.818181818182,26.0,0.0,3110.181818181818,3289.818181818182,41.122727272727275
Random movements,0,10,25,↖ North/West,1,0,94.54545454545455,17.09090909090909,2875.5454545454545,2892.6363636363635,27.545454545454547,3.1818181818181817,3524.4545454545455,2875.5454545454545,35.94431818181818
Random movements,0,10,25,↖ North/West,1,1,104.9090909090909,14.181818181818182,3045.181818181818,3059.3636363636365,25.181818181818183,3.5454545454545454,3354.818181818182,3045.181818181818,38.064772727272725
Random movements,0,10,25,↖ North/West,2,0,107.0909090909091,26.90909090909091,3006.818181818182,3033.7272727272725,28.272727272727273,4.363636363636363,3366.2727272727275,3033.7272727272725,37.92159090909091
Random movements,0,10,25,↖ North/West,2,1,109.54545454545455,17.818181818181817,3105.818181818182,3123.6363636363635,26.09090909090909,4.2727272727272725,3276.3636363636365,3123.6363636363635,39.04545454545455
Random movements,0,10,25,↖ North/West,6,0,98.36363636363636,0.0,2953.181818181818,2953.181818181818,25.181818181818183,0.0,3446.818181818182,2953.181818181818,36.91477272727273
Random movements,0,10,25,↖ North/West,6,1,103.72727272727273,0.0,3029.5454545454545,3029.5454545454545,24.545454545454547,0.0,3370.4545454545455,3029.5454545454545,37.86931818181818
Random movements,0,10,25,↗ North/East,1,0,104.0909090909091,17.181818181818183,2929.090909090909,2946.2727272727275,26.09090909090909,2.909090909090909,3470.909090909091,2929.090909090909,36.61363636363637
Random movements,0,10,25,↗ North/East,1,1,116.63636363636364,10.727272727272727,3087.5454545454545,3098.2727272727275,27.0,4.090909090909091,3312.4545454545455,3087.5454545454545,38.59431818181818
Random movements,0,10,25,↗ North/East,2,0,96.0909090909091,22.0,2853.909090909091,2875.909090909091,27.0,3.909090909090909,3524.090909090909,2875.909090909091,35.94886363636363
Random movements,0,10,25,↗ North/East,2,1,102.9090909090909,14.818181818181818,3005.3636363636365,3020.181818181818,25.0,4.545454545454546,3379.818181818182,3020.181818181818,37.752272727272725
Random movements,0,10,25,↗ North/East,6,0,108.63636363636364,0.0,3009.2727272727275,3009.2727272727275,26.363636363636363,0.0,3390.7272727272725,3009.2727272727275,37.61590909090909
Random movements,0,10,25,↗ North/East,6,1,105.72727272727273,0.0,3086.2727272727275,3086.2727272727275,24.636363636363637,0.0,3313.7272727272725,3086.2727272727275,38.57840909090909
Random movements,0,10,25,↘ South/East,1,0,97.36363636363636,16.181818181818183,2885.2727272727275,2901.4545454545455,25.363636363636363,3.090909090909091,3514.7272727272725,2885.2727272727275,36.065909090909095
Random movements,0,10,25,↘ South/East,1,1,111.0,14.090909090909092,2998.6363636363635,3012.7272727272725,25.181818181818183,3.4545454545454546,3401.3636363636365,2998.6363636363635,37.48295454545455
Random movements,0,10,25,↘ South/East,2,0,103.36363636363636,27.90909090909091,2976.818181818182,3004.7272727272725,26.636363636363637,4.0,3395.6363636363635,3004.3636363636365,37.554545454545455
Random movements,0,10,25,↘ South/East,2,1,101.0909090909091,18.818181818181817,3043.2727272727275,3062.090909090909,27.636363636363637,4.181818181818182,3337.909090909091,3062.090909090909,38.27613636363637
Random movements,0,10,25,↘ South/East,6,0,103.18181818181819,0.0,3071.2727272727275,3071.2727272727275,25.545454545454547,0.0,3328.7272727272725,3071.2727272727275,38.39090909090909
Random movements,0,10,25,↘ South/East,6,1,101.54545454545455,0.0,2952.7272727272725,2952.7272727272725,25.181818181818183,0.0,3447.2727272727275,2952.7272727272725,36.90909090909091
Random movements,0,10,25,↙ South/West,1,0,101.54545454545455,18.0,3024.818181818182,3042.818181818182,26.0,3.272727272727273,3375.181818181818,3024.818181818182,37.810227272727275
Random movements,0,10,25,↙ South/West,1,1,96.72727272727273,9.909090909090908,3112.4545454545455,3122.3636363636365,26.09090909090909,3.6363636363636362,3287.5454545454545,3112.4545454545455,38.90568181818182
Random movements,0,10,25,↙ South/West,2,0,116.63636363636364,32.90909090909091,3180.2727272727275,3213.181818181818,27.272727272727273,4.2727272727272725,3186.818181818182,3213.181818181818,40.16477272727273
